"Name","Disc. Date","Host Name","z","dL (Mpc)","Type"
"SN2007hx","2007/09/03","SDSS J20627.93-005353.1","0.078873,0.079443","369.611","Ia"
"SN1992bp","1992/12/20","A033637-1821","0.0789,0.0726,0.0766,0.0794","369.7","Ia"
"PTF10duy","2010/03/13","","0.079","370","Ia"
"SN2018jnx","2018/12/03","","0.079","370","Ia"
"Gaia15aby","2015/02/11","","0.079","370","Ia"
"SN2009ku","2009/09/22","A032953-2805","0.079","370","Ia"
"PTF10mtd","2010/06/24","","0.079","370","Ia"
"OGLE15ng","2015/10/17","","0.079","370","Ia"
"SN2017git","2017/08/02","2MASX J01544474-0700125","0.079","370","Ia"
"SN2016jfq","2016/12/28","","0.079","370","Ia"
"SN2017uq","2017/01/26","2MASX J12142507-0203213","0.079","370","Ia"
"PTF11ctn","2011/04/29","","0.079","370","Ia"
"PS15cgi","2015/10/09","","0.079","370","Ia"
"SN2018evr","2018/08/10","","0.079","370","Ia"
"SN2017iui","2017/12/02","","0.079","370","Ia"
"SN2020xv","2020/01/11","LEDA 1069817","0.079","370","Ia"
"SN2021tvk","2021/07/17","","0.079","370","Ia"
"SN2017itw","2017/12/05","","0.079","370","Ia"
"SN2021zde","2021/09/11","","0.079","370","Ia"
"SN2016fht","2016/08/25","","0.079","370","Ia"
"SN2018bdh","2018/04/28","LEDA 1666031","0.079","370","Ia"
"SN2021vnv","2021/08/10","LEDA 1840155","0.079","370","Ia"
"SN2002jf","2002/10/30","A023435+1217","0.079,0.079","370","Ia"
"SN2011jd","2011/11/19","A002254+1352","0.079","370","Ia"
"AT2019sou","2019/10/16","","0.079","370","Ia-02cx"
"iPTF15biq","2015/06/16","","0.079","370","Ia"
"PS15dpa","2015/12/28","","0.079,0.079","370","Ia"
"SN2017dip","2017/04/25","","0.079","370","Ia"
"SN2017flo","2017/07/11","","0.079","370","Ia"
"SN2017ivg","2017/12/09","","0.079,0.081","370","Ia"
"SN2018ezy","2018/08/02","","0.079","370","Ia"
"SN2018iuv","2018/11/18","","0.079","370","Ia"
"SN2018jjs","2018/11/28","","0.079","370","Ia"
"SN2019bow","2019/02/27","","0.079","370","Ia"
"SN2019dsn","2019/04/11","","0.079","370","Ia"
"SN2019gtl","2019/06/03","","0.079","370","Ia"
"SN2019tut","2019/11/01","","0.079","370","Ia"
"SN2019uql","2019/11/12","","0.079","370","Ia"
"AT2020sga","2020/08/29","","0.079","370","Ia"
"SN2020abjl","2020/12/02","","0.079","370","Ia"
"SN2020kbl","2020/05/15","","0.079","370","Ia"
"SN2020suj","2020/09/07","","0.079","370","Ia"
"SN2021aa","2021/01/01","","0.079","370","Ia"
"SN2021eng","2021/03/03","","0.079","370","Ia"
"SN2021fna","2021/03/14","LEDA 803598","0.079","370","Ia"
"SN2021oan","2021/05/28","","0.079","370","Ia"
"SN2021ret","2021/06/26","","0.079","370","Ia"
"SN2021wfg","2021/08/17","","0.079","370","Ia"
"SN2021whj","2021/08/16","","0.079","370","Ia"
"SN2021xyk","2021/09/02","","0.079","370","Ia"
"SN2021kxf","2021/05/02","","0.078971","370.095","Ia"
"SN2021xes","2021/08/29","","0.079078","370.624","Ia"
"SNF20080910-007","2008/09/10","","0.07908","370.63","Ia"
"SN2019cnx","2019/03/31","2MASX J13002946+0035562","0.079119","370.827","Ia"
"SN2021cxw","2021/02/13","","0.079139","370.925","Ia"
"PSc350316","2012/01/21","","0.07919","371.18","Ia"
"SN2021qsw","2021/06/21","","0.079194","371.197","Ia"
"SN2018coj","2018/06/07","","0.0792","371.2","Ia"
"PTF10cwm","2010/03/13","","0.07925","371.47","Ia"
"SN2018fpv","2018/08/30","","0.0793","371.7","Ia"
"SN2021dic","2021/02/17","","0.079358","372.008","Ia"
"SN2021die","2021/02/17","","0.079359","372.012","Ia"
"iPTF15cqf","2015/09/04","PGC 1619741","0.0794","372.2","Ia"
"SN2005ag","2005/02/10","2MASX J14564322+0919361","0.079402","372.225","Ia"
